text,label
"El procesamiento de señales digitales es clave para las comunicaciones inalámbricas.",1
"Me e dejado las llaves dentro, me quiero morir.",0
"Es imperativo realizar un análisis de riesgos antes de iniciar cualquier proyecto.",1
"¿Te hace una caña esta tarde después de clase?",0
"La inteligencia artificial generativa ha transformado la creación de contenido digital.",1
"La verdá es que no tengo ni idea de que me estás hablando.",0
"El protocolo de seguridad SSL asegura la confidencialidad de los datos transmitidos.",1
"Venga va, no seas pesado y vente con nosotros.",0
"La computación en la nube ofrece una infraestructura escalable para empresas modernas.",1
"Joer, otra vez se a roto la lavadora, qué mala suerte.",0
"El entrenamiento de redes neuronales profundas demanda una alta capacidad de cómputo.",1
"He ido al médico y me a dicho que es solo un catarro.",0
"La normalización de bases de datos evita la redundancia y mejora la integridad.",1
"¿Quedamos para ver el partido en el bar de abajo?",0
"El aprendizaje por refuerzo optimiza la toma de decisiones en entornos dinámicos.",1
"Menudo marrón me ha caído hoy en la oficina.",0
"La encriptación asimétrica utiliza un par de claves, una pública y otra privada.",1
"Pásame el mando de la tele, que quiero ver las noticias.",0
"El desarrollo ágil permite adaptarse rápidamente a los cambios en los requisitos.",1
"Mira, yo paso de líos, que cada uno haga lo que quiera.",0
"La segmentación de clientes es vital para el éxito de las campañas de marketing.",1
"¿Te has enterado de lo de la huelga de metro de mañana?",0
"El procesamiento por lotes es ideal para manejar grandes volúmenes de transacciones.",1
"Me mola mazo tu chaqueta, ¿dónde te la has pillao?",0
"La latencia es un factor determinante en la calidad de las videollamadas.",1
"No me ralles con eso ahora, que estoy súper cansado.",0
"La minería de datos permite extraer conocimiento útil de bases de datos complejas.",1
"E quedado con Marta para ir al cine, ¿te apuntas?",0
"La validación de datos de entrada previene ataques de inyección de código SQL.",1
"Tío, no encuentro el ticket de compra por ningún lao.",0
"El despliegue de microservicios facilita la actualización individual de funciones.",1
"Vaya tela con el calor que hace hoy en Madrid.",0
"Se requiere una conexión a internet estable para sincronizar los archivos.",1
"Me voy a echar la siesta que no puedo con mi alma.",0
"La virtualización de red optimiza el uso de los recursos de hardware disponibles.",1
"Oye, ¿has visto mis gafas? No las encuentro por ninguna parte.",0
"El reconocimiento de voz utiliza modelos probabilísticos para mejorar la precisión.",1
"Mañana empiezo el gim, que ya toca ponerse en forma.",0
"La interoperabilidad técnica garantiza la comunicación entre plataformas distintas.",1
"¿Me dejas diez euros para el bus? Mañana te los devuelvo sin falta.",0
"El balanceo de carga distribuye el tráfico web de manera uniforme.",1
"Me ha dao un coraje lo que ha dicho el jefe...",0
"La realidad mixta combina elementos de la realidad virtual y la aumentada.",1
"Pfff, que pereza me da ponerme a estudiar ahora.",0
"El análisis de sentimientos en redes sociales es una herramienta de marketing potente.",1
"Venga tía, no te rayes por eso que no tiene importancia.",0
"La computación cuántica utiliza cúbits para realizar cálculos en paralelo.",1
"Estoy hasta el moño de este ordenador, va súper lento.",0
"La gestión de activos digitales requiere un sistema de indexación eficiente.",1
"¿Nos tomamos un café y me cuentas qué tal todo?",0
"El protocolo TCP garantiza la entrega de paquetes de datos en el orden correcto.",1
"Me a dicho Juan que al final no viene, una pena.",0
"La automatización robótica de procesos sustituye tareas manuales repetitivas.",1
"Vaya pedazo de gol ha metido el Madrid ayer, ¿lo vistes?",0
"La inteligencia de negocios ayuda a las organizaciones a tomar decisiones basadas en datos.",1
"No se si boy a poder ir a la cena del sábado.",0
"El cifrado de extremo a extremo protege la privacidad de los usuarios finales.",1
"¡Que fuerte! No me esperaba eso para nada.",0
"El desarrollo de software seguro debe incluir pruebas de penetración constantes.",1
"Mañana voy a por los resultados del análisis.",0
"La arquitectura de Von Neumann es la base de la mayoría de computadoras actuales.",1
"Oye, pásame el número de teléfono de tu hermano.",0
"La computación de alto rendimiento es esencial para la investigación científica.",1
"Me da que esto va a salir mal, no me fío un pelo.",0
"El uso de API permite la integración de diferentes servicios de terceros.",1
"¿Te apetece ir a cenar un kebab después de la fiesta?",0
"La optimización para motores de búsqueda mejora la visibilidad de los sitios web.",1
"Estoy flipando con los precios de los alquileres hoy en día.",0
"El procesamiento de lenguaje natural permite traducir textos en tiempo real.",1
"¡Venga ya! No me jodas que ha pasado eso.",0
"La autenticación multifactor es una medida de seguridad altamente recomendada.",1
"Me voy de vacaciones el lunes y no he hecho la maleta.",0
"La infraestructura como código permite automatizar el despliegue de servidores.",1
"¿Qué tal te va todo por allí? Hace mucho que no hablamos.",0
"El aprendizaje no supervisado agrupa datos sin etiquetas previas.",1
"Madre mía, qué jaleo hay montado en el centro.",0
"La ingeniería social es una técnica común utilizada en ataques de phishing.",1
"Me a salido un grano en la nariz que parece un volcán.",0
"El diseño de interfaces debe priorizar la accesibilidad para todos los usuarios.",1
"¿A qué hora empieza la peli? No quiero llegar tarde.",0
"La cadena de bloques asegura la inmutabilidad de los registros de transacciones.",1
"Buff, tengo un sueño que no me lamo.",0
"La computación en el borde reduce el ancho de banda necesario en la red.",1
"Pásame la sal, porfa, que esto está soso.",0
"El análisis predictivo se utiliza para prevenir fallos en la maquinaria industrial.",1
"¡Hostia! Se me ha olvidado llamar a mi madre por su cumple.",0
"La gestión de versiones con Git facilita el trabajo colaborativo en equipo.",1
"Ya te digo, es que no tiene ni pies ni cabeza.",0
"La inteligencia artificial ética busca evitar sesgos algorítmicos discriminatorios.",1
"Oye, ¿te vienes luego de cañas por Malasaña?",0
"El sistema de archivos distribuido permite el acceso concurrente a los datos.",1
"Me piro al sobre que mañana madrugo un montón.",0
"La optimización de consultas SQL reduce el tiempo de respuesta del servidor.",1
"Vaya movida hubo ayer en el metro, estaba todo petao.",0
"El aprendizaje profundo se basa en múltiples capas de abstracción de datos.",1
"¿Has visto lo que a dicho el jefe? Es que es para flipar.",0
"La arquitectura de microservicios mejora la resiliencia de la plataforma.",1
"Tío, no encuentro el cargador por ningún lao, ¿me lo dejas?",0
"Se requiere autenticación de doble factor para realizar esta operación.",1
"Me mola mazo el nuevo disco de ese grupo, es la caña.",0
"La computación cuántica utiliza la superposición para procesar información.",1
"Ayer fuimos de tardeo y se nos fue de las manos la cosa.",0
"El protocolo TLS garantiza la privacidad en la comunicación cliente-servidor.",1
"No veas que sueño tengo, anoche no pegue ojo.",0
"La inteligencia artificial puede identificar anomalías en el tráfico de red.",1
"¿Vale, entonces quedamos en la puerta del Sol a las seis?",0
"El despliegue de contenedores Docker facilita la portabilidad del software.",1
"Joer, me a vuelto a pillar el toro con la entrega del trabajo.",0
"La normalización de datos es un paso previo al análisis estadístico.",1
"He pillado unas entradas para el cine, ¿te apuntas o q?",0
"La infraestructura como código permite una gestión escalable de servidores.",1
"La verdá es que no me apetece nada salir hoy, hace un frio de locos.",0
"El procesamiento de lenguaje natural analiza la sintaxis y la semántica.",1
"Menudo marrón me han encasquetao en el curro, no veas.",0
"La redundancia de hardware minimiza el riesgo de puntos de fallo únicos.",1
"Pfff, que pereza me da ir al gimnasio con la que esta cayendo.",0
"La criptografía asimétrica es la base de las firmas digitales seguras.",1
"¿Te hace un kebab rápido antes de ir a casa?",0
"Los algoritmos de ordenación optimizan la gestión de grandes listas.",1
"Me e dejado el paraguas en el bus, soy un desastre.",0
"La virtualización permite ejecutar sistemas operativos de forma aislada.",1
"Mira chaval, yo ya paso de decirle nada mas pq no escucha.",0
"El análisis de sentimientos utiliza léxicos para clasificar emociones.",1
"¿Sabes si abren el Mercadona hoy por ser festivo?",0
"La latencia de red es crítica para las aplicaciones de trading financiero.",1
"Hostia, se me a olvidado por completo que habiamos quedao.",0
"El reconocimiento de patrones es fundamental en la visión por computador.",1
"Vaya chufa de pelicula, nos salimos a la mitad del cine.",0
"La minería de datos descubre relaciones no triviales en grandes volúmenes.",1
"E quedado con la peña para ir a la sierra el finde.",0
"El desarrollo ágil fomenta la colaboración continua con el cliente.",1
"¿Me pasas el contacto del fontanero? Es que tengo una gotera.",0
"La ciberseguridad industrial protege infraestructuras críticas del país.",1
"No ralles mas con eso, que ya sabemos que la has liao.",0
"El almacenamiento de objetos es ideal para datos no estructurados.",1
"Me voy a por un pincho de tortilla que tengo un hambre canina.",0
"La interfaz de programación de aplicaciones define las reglas de interacción.",1
"Venga tía, no te rayes que ese tío no vale la pena.",0
"El balanceo de carga garantiza la alta disponibilidad de los servicios.",1
"Mañana me paso por tu casa y te doy lo tuyo, vale?",0
"La computación en la nube reduce los costes operativos de mantenimiento.",1
"Que guay que hayas venido, no te esperaba tan pronto.",0
"El cifrado AES-256 es el estándar actual para la protección de datos.",1
"Me duele la rabadilla de estar todo el dia sentado en la oficina.",0
"La robótica colaborativa integra sensores de seguridad para humanos.",1
"¿Vistes el partido de anoche? Menudo robo nos hicieron.",0
"El aprendizaje no supervisado agrupa elementos por similitud estadística.",1
"Me boy a comprar el pan, ¿quieres algo mas?",0
"La transformación digital implica un cambio cultural en las empresas.",1
"Jajaja que bueno el video que as pasao por el grupo.",0
"El protocolo BGP es el encargado de gestionar las rutas en internet.",1
"Tengo un jaleo de papeles en la mesa que no veas.",0
"La segmentación de red previene el movimiento lateral de atacantes.",1
"Oye, dile a tu hermano que me devuelva la play ya.",0
"El análisis predictivo ayuda a reducir el abandono de clientes.",1
"Me e puesto como un kiko en la cena de navidad.",0
"La biometría facial es un método eficaz de control de acceso.",1
"Buah, que pasada el concierto de ayer, flipe en colores.",0
"La gestión de dependencias asegura la estabilidad del entorno de desarrollo.",1
"No se si boy a llegar a tiempo x el trafico en la M-30.",0
"El internet de las cosas conecta sensores directamente a la red.",1
"Me das un poco de agua? Es q me pica la garganta mazo.",0
"La realidad aumentada superpone datos sobre la visión del mundo real.",1
"Vaya tela con la que esta callendo fuera, que tormenton.",0
"El aprendizaje por refuerzo maximiza una función de recompensa escalar.",1
"Pásame el mando de la consola que te voy a dar una paliza.",0
"La escalabilidad horizontal permite añadir nodos al clúster de base de datos.",1
"Me e quedao sin bateria en medio de la calle, que putada.",0
"El procesamiento asíncrono permite manejar múltiples peticiones a la vez.",1
"¿Te apetece un helado ahora que hace bueno?",0
"La verificación formal de software garantiza la ausencia de errores lógicos.",1
"No me digas mas que me conozco la historia de memoria.",0
"La red neuronal recurrente es adecuada para el análisis de series temporales.",1
"Menudo tute de viaje nos hemos pegao, estoy reventao.",0
"La tokenización de activos financieros mejora la liquidez del mercado.",1
"Me mola mazo el rollo que lleva esa chica.",0
"El sistema de nombres de dominio traduce nombres a direcciones IP.",1
"Voy a ver si me echo un rato que me duele la cabeza.",0
"La inteligencia de negocios utiliza cuadros de mando para monitorizar KPI.",1
"¿A que hora empieza el hormiguero hoy?",0
"El protocolo MQTT es ampliamente utilizado en dispositivos de baja potencia.",1
"Me e comprado una bici nueva para ir al curro.",0
"La minería de procesos identifica cuellos de botella en los flujos de trabajo.",1
"Vaya chollazo he pillado en las rebajas del centro.",0
"La arquitectura sin servidor permite ejecutar código sin gestionar servidores.",1
"Dile a tu madre que me pase la receta de las croquetas.",0
"El aprendizaje supervisado requiere un conjunto de datos bien etiquetado.",1
"Mañana nos vemos en el bar de siempre, no faltes.",0
"La criptografía de clave pública es esencial para el protocolo HTTPS.",1
"Oye tío, le dije a Juan que viniera pero no me ha hecho ni caso.",0
"La recursividad es un concepto fundamental en la programación funcional.",1
"mañana te paso el apunte de clase que ahora no lo tengo a mano.",0
"El protocolo de transferencia de hipertexto asegura la entrega de recursos web.",1
"Vaya tela con el examen, me ha salido fatal, no doy una.",0
"La arquitectura de redes neuronales profundas permite el aprendizaje de rasgos jerárquicos.",1
"¿Te hace un tardeo hoy por el centro? Que hace sol.",0
"Es necesario configurar los permisos de lectura y escritura en el servidor.",1
"la verdá es que no sé para qué me esfuerzo tanto.",0
"El análisis de componentes principales reduce la dimensionalidad de un conjunto de datos.",1
"Me piro al curro, que entre el metro y el tráfico llego tardísimo.",0
"La computación en la nube facilita el despliegue de infraestructuras escalables.",1
"Hostia, ¡qué guay verte por aquí! ¿Cuánto tiempo, no?",0
"El algoritmo de aprendizaje por refuerzo busca maximizar la recompensa acumulada.",1
"Pásame la ubi por el grupo que si no me pierdo fijo.",0
"La integridad de los datos se garantiza mediante funciones de hash criptográfico.",1
"esta tarde no cuentes conmigo que tengo un lío de cojones.",0
"La virtualización de contenedores optimiza el uso de recursos del sistema operativo.",1
"No veas cómo mola el nuevo garito que han abierto en mi barrio.",0
"El procesamiento de lenguaje natural incluye tareas de etiquetado gramatical.",1
"He pillao una oferta de locos para ir a las Canarias en verano.",0
"La memoria caché mejora el rendimiento al almacenar datos de acceso frecuente.",1
"Joer, es que siempre me pasa lo mismo por ir con prisas.",0
"El desarrollo orientado a objetos utiliza clases y herencia para organizar el código.",1
"¿Vale, entonces quedamos en que yo llevo las bebidas?",0
"La latencia de red es un factor crítico en el desarrollo de videojuegos online.",1
"me parece a mí que esto no va a funcionar ni de coña.",0
"La encriptación de extremo a extremo protege la comunicación entre usuarios.",1
"Vaya pedazo de móvil se ha comprado mi hermana, qué envidia.",0
"El balanceador de carga distribuye las peticiones entre múltiples servidores.",1
"Tío, no encuentro las llaves, me estoy rayando mazo.",0
"La inteligencia artificial generativa puede producir contenido visual altamente realista.",1
"Mañana voy a Madriz a ver a mis primos, qué ganas.",0
"Se recomienda realizar copias de seguridad incrementales de forma periódica.",1
"si no me contestas ahora ya no voy, aviso.",0
"El paradigma de programación reactiva se basa en el flujo de datos asíncrono.",1
"No ralles más con el tema, que ya está todo dicho.",0
"La segmentación de clientes permite personalizar las campañas de marketing directo.",1
"E quedado con la peña para ir de cañas al salir de clase.",0
"El reconocimiento facial utiliza vectores de características para la identificación.",1
"Buff, estoy reventao de tanto estudiar, no me entra nada más.",0
"La arquitectura de microservicios permite el escalado independiente de componentes.",1
"¿Te vienes a ver el partido al bar de abajo? Invito yo.",0
"El almacenamiento distribuido garantiza la disponibilidad de los archivos en la red.",1
"no se si boy a poder terminar el informe para mañana.",0
"La optimización de motores de búsqueda es vital para el tráfico orgánico.",1
"Venga va, no seas rancio y vente un rato aunque sea.",0
"El despliegue continuo automatiza la entrega de software a producción.",1
"Me mola mazo el rollo que lleva ese grupo de música.",0
"La normalización de la base de datos previene la redundancia de información.",1
"Oye, ¿has visto mis gafas? Es que no las veo por ningún lao.",0
"El aprendizaje no supervisado identifica estructuras ocultas en los datos crudos.",1
"la universidá está cada vez más difícil, no sé qué hacer.",0
"La computación cuántica utiliza cúbits para superar los límites de la clásica.",1
"Vaya chufa de concierto, se escuchaba fatal desde atrás.",0
"La autenticación de dos factores añade una capa de seguridad imprescindible.",1
"Me e dejado el cargador en tu casa, ¿me lo guardas?",0
"El procesamiento asíncrono mejora la eficiencia en sistemas de alta concurrencia.",1
"¿A qué hora cierra el súper hoy? Que tengo que pillar leche.",0
"La minería de datos permite descubrir patrones significativos en grandes datasets.",1
"pfff, que pereza me da ponerme a cocinar ahora mismo.",0
"La red neuronal convolucional es la base de la visión por computador moderna.",1
"Menudo marrón le ha caído a mi jefe con la auditoría.",0
"El protocolo TCP garantiza que los paquetes lleguen en el orden correcto.",1
"Mañana nos vemos sin falta, que tengo que contarte una cosa.",0
"La transformación digital es un imperativo para la competitividad empresarial.",1
"Tío, eres un máquina, ¡muchas gracias por la ayuda!",0
"El aprendizaje supervisado depende de la calidad del etiquetado de datos.",1
"esta mañana me he levantado con un dolor de espalda criminal.",0
"La infraestructura como código simplifica la gestión de entornos de desarrollo.",1
"Vaya tela, me han puesto una multa por aparcar mal.",0
"El internet de las cosas conecta dispositivos físicos a entornos digitales.",1
"¿Me pasas el número de la pizzería esa tan buena?",0
"La escalabilidad vertical aumenta la capacidad de un único servidor físico.",1
"Me piro ya, que si no no llego a ver el inicio de la peli.",0
"El análisis de sentimientos clasifica textos según su polaridad emocional.",1
"no veas como estaba la Gran Vía de gente ayer por la tarde.",0
"La gestión de dependencias previene conflictos entre versiones de librerías.",1
"¿Sabes si hay huelga de buses mañana por la mañana?",0
"La biometría es un método seguro de identificación de usuarios finales.",1
"Joer, qué hambre tengo, me comía un bocata de calamares ahora.",0
"El cifrado de clave pública utiliza un par de claves matemáticas vinculadas.",1
"Me e comprado unas zapas nuevas en las rebajas del centro.",0
"La inteligencia de negocios transforma datos en decisiones estratégicas.",1
"venga, que ya casi es viernes y nos vamos de fiesta.",0
"El procesamiento de flujo gestiona datos en tiempo real de forma continua.",1
"Tengo una resaca que no puedo ni con mi alma, de verdad.",0
"La arquitectura de software limpia facilita el mantenimiento a largo plazo.",1
"Oye, dile a Javi que me traiga el libro que le presté.",0
"El reconocimiento de voz avanzado utiliza modelos de lenguaje de gran escala.",1
"vaya frío hace hoy, me voy a poner el abrigo gordo.",0
"La minería de procesos visualiza el flujo real de las operaciones de negocio.",1
"Me mola mucho tu coche nuevo, está súper bien cuidado.",0
"El balanceo de carga global distribuye tráfico entre diferentes regiones.",1
"¿Vale, entonces me llamas tú cuando salgas del curro?",0
"La arquitectura sin servidor abstrae la gestión de la infraestructura física.",1
"me parece que se me ha olvidado cerrar la puerta con llave.",0
"La verificación formal asegura que el sistema cumple con su especificación.",1
"Mañana voy a por los resultados del análisis, a ver qué tal.",0
"El aprendizaje por transferencia permite reutilizar modelos en nuevas tareas.",1
"Hola, ¿en qué puedo asistirle en el día de hoy?",1
"Buenas, ¿qué pasa contigo tío? ¿cómo vas?",0
"Estimado usuario, quedo a su entera disposición para cualquier duda.",1
"venga nos vemos luego q tengo prisa",0
"Ha sido un placer ayudarle. Que tenga un excelente día.",1
"¡Holi! ¿qué haces? ¿te vienes a tomar algo?",0
"Si necesita más información, no dude en contactar conmigo nuevamente.",1
"buenos dias a todos q tal el finde",0
"Reciba un cordial saludo y el agradecimiento del equipo técnico.",1
"hasta lueguito lucas, hablamos por el grupo",0
"¿Hay alguna otra tarea en la que pueda colaborar con usted?",1
"Oye, que me piro ya, luego te cuento el drama este.",0
"Atentamente, el sistema de asistencia automatizado.",1
"holaaaa como estais todos por aqui",0
"Esperamos que esta solución sea de su agrado. Un saludo.",1
"vaya tela q sueño tengo hoy buenos dias",0
"Gracias por su consulta. Estamos procesando su solicitud.",1
"chauuuu me voy al gim luego te llamo",0
"¿Desea que profundice en algún punto específico de la conversación?",1
"q onda q haces x aqui todavia",0
"Le deseo una jornada productiva y llena de éxitos.",1
"ale, a cuidarse, ya nos veremos",0
"Bienvenido al soporte interactivo. Por favor, espere un momento.",1
"buenas tardes q tal va ese curro",0
"Quedo a la espera de sus instrucciones adicionales.",1
"oye perdona q no te salude antes es que iba empanada",0
"Le agradecemos su paciencia y le saludamos atentamente.",1
"venga chao pescaoo nos vemos mañana",0
"Espero que su experiencia con nuestra plataforma sea satisfactoria.",1
"ola k ase? vas a bajar al parque o q",0
"Cualquier otra consulta será bienvenida. Hasta pronto.",1
"bueno tía me voy ya q llego tarde al médico",0
"Le envío un cordial saludo y le deseo lo mejor.",1
"ey q tal todo cuanto tiempo sin verte",0
"Gracias por utilizar nuestros servicios digitales.",1
"ta luego, portate bien eh",0
"Le informamos de que su sesión finalizará en breve. Saludos.",1
"hola q tal estais todos",0
"Un placer haberle servido. Cerramos la consulta.",1
"venga pues nada un besito hablamos",0
"Buenos días. ¿Cómo puedo facilitar su flujo de trabajo hoy?",1
"holaaa q tal el viaje ya llegaste",0
"Muchas gracias por su atención. Saludos cordiales.",1
"q tal makina como va todo",0
"Le doy la bienvenida a nuestro canal de comunicación oficial.",1
"venga un saludo hablamos el lunes",0
"Agradecemos su interés y esperamos verle de nuevo.",1
"hey que pasa x donde andas",0
"Quedamos a su servicio para futuras interacciones.",1
"buenas noches a descansar q ya toca",0
"¿En qué puedo serle de utilidad en este momento?",1
"hasta mañana si dios quiere q descanseis",0
"Reciba mis más sinceras disculpas por las molestias. Saludos.",1
"ola q haces te vienes a cenar",0
"Doy por finalizada la asistencia técnica. Un saludo.",1
"bueno pues eso q nos vemos pronto un abrazo",0
"Gracias por su tiempo y por confiar en nosotros.",1
"q pasa fiera como va la mañana",0
"Es un honor para mí asistirle en sus tareas diarias.",1
"venga me voy q ya es hora un beso",0
"Le saluda el asistente virtual de la entidad.",1
"hola caracola q tal el dia",0
"Deseamos que tenga una tarde muy agradable.",1
"mañana te veo sin falta eh no me falles",0
"Quedamos a su entera disposición para lo que necesite.",1
"buenas noches grupo q descanseis todos",0
"Por favor, hágame saber si puedo ayudarle en algo más.",1
"hola q tal todo x alli",0
"Un cordial saludo de parte de todo nuestro equipo.",1
"venga hasta luego q pases buen dia",0
"Espero haber resuelto todas sus dudas satisfactoriamente.",1
"ey q haces q no me contestas al wa",0
"Le agradezco de antemano su colaboración. Saludos.",1
"buenas q tal va la tarde",0
"Gracias por contactarnos. Le atenderemos enseguida.",1
"bueno pos nada q ya me voy chao",0
"Reciba un afectuoso saludo de nuestro servicio de atención.",1
"holaaa q tal la family",0
"Ha sido un gusto atender su petición.",1
"venga ciao nos hablamos por aqui",0
"Bienvenido. ¿Cómo podemos mejorar su experiencia hoy?",1
"buenas q tal amaneciste",0
"Esperamos verle de nuevo por aquí muy pronto.",1
"q pasa tio como va el curro",0
"Quede con Dios y tenga un feliz día.",1
"venga hasta lueguito q me voy a comer",0
"Agradecemos su feedback y le enviamos un saludo.",1
"ey q tal el finde q hiciste",0
"Si no tiene más preguntas, procederé a cerrar el chat.",1
"venga un saludo maquina hablamos",0
"Le damos las gracias por elegirnos. Saludos.",1
"hola q tal como va la cosa",0
"Deseamos que esta información le haya sido de gran ayuda.",1
"bueno pos eso q te vaya bien el viaje",0
"Reciba un cordial saludo y nuestro agradecimiento.",1
"q tal el curro hoy mucha peña",0
"Quedamos a su disposición para cualquier otra aclaración.",1
"venga chao q me cierran el super",0
"Gracias por su preferencia. Hasta la próxima.",1
"ola como estas hace mucho q no hablamos",0
"Hello! How may I assist you with your inquiries today?",1
"sup man, u coming to the pub later?",0
"It is a pleasure to meet you. Please let me know your requirements.",1
"hey, sry i'm late, traffic was insane",0
"I hope you are having a productive morning. How can I help?",1
"yo! long time no see, how's it hanging?",0
"Should you require further assistance, do not hesitate to ask.",1
"morning, u got the notes from yesterday's class?",0
